flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.229143,0.000000,1.05,0.00
0.222857,0.000000,1.01,0.00
0.216571,0.000000,0.96,0.00
0.210286,0.000000,0.92,0.00
0.203857,0.000000,0.88,0.00
0.197429,0.000000,0.84,0.00
0.191000,0.000000,0.80,0.00
0.184571,0.000000,0.76,0.00
0.178000,0.000000,0.72,0.00
0.171429,0.000000,0.68,0.00
0.164857,0.000000,0.64,0.00
0.158286,0.000000,0.61,0.00
0.151714,0.000000,0.57,0.00
0.145143,0.000000,0.54,0.00
0.138429,0.000000,0.52,0.00
0.131857,0.000000,0.49,0.00
0.125143,0.000000,0.48,0.00
0.118429,0.000000,0.46,0.00
0.111714,0.000000,0.45,0.00
0.105000,0.000000,0.44,0.00
0.098286,0.000000,0.44,0.00
0.091571,0.000000,0.43,0.00
0.084857,0.000000,0.43,0.00
0.078143,0.000000,0.42,0.00
0.071429,0.000000,0.42,0.00
0.000000,0.000000,0.41,0.00
0.000000,0.000000,0.40,0.00
0.000000,0.000000,0.40,0.00
0.000000,0.000000,0.39,0.00
0.000000,0.000000,0.38,0.00
0.000000,0.000000,0.37,0.00
0.000000,0.000000,0.36,0.00
0.000000,0.000000,0.36,0.00
0.000000,0.000000,0.35,0.00
0.000000,0.000000,0.35,0.00
0.080000,0.000000,0.34,0.00
0.088429,0.000000,0.34,0.00
0.097000,0.000000,0.33,0.00
0.105571,0.000000,0.33,0.00
0.114000,0.000000,0.33,0.00
0.122571,0.000000,0.33,0.00
0.131000,0.000000,0.33,0.00
0.139429,0.000000,0.33,0.00
0.147857,0.000000,0.34,0.00
0.156286,0.000000,0.35,0.00
0.164714,0.000000,0.36,0.00
0.173143,0.000000,0.38,0.00
0.181571,0.000000,0.41,0.00
0.189857,0.000000,0.43,0.00
0.198143,0.000000,0.46,0.00
0.206429,0.000000,0.49,0.00
0.214714,0.000000,0.53,0.00
0.222857,0.000000,0.56,0.00
0.231000,0.000000,0.60,0.00
0.239143,0.000000,0.63,0.00
0.247286,0.000000,0.66,0.00
0.255286,0.000000,0.70,0.00
0.263286,0.000000,0.73,0.00
0.271286,0.000000,0.77,0.00
0.279143,0.000000,0.80,0.00
0.287000,0.000000,0.84,0.00
0.294857,0.000000,0.88,0.00
0.302571,0.000000,0.91,0.00
0.310286,0.000000,0.95,0.00
0.317857,0.000000,0.98,0.00
0.325429,0.000000,1.01,0.00
0.333000,0.000000,1.04,0.00
0.340429,0.000000,1.07,0.00
0.347714,0.000000,1.10,0.00
0.355000,0.000000,1.13,0.00
0.362286,0.000000,1.15,0.00
0.369429,0.000000,1.18,0.00
0.376571,0.000000,1.20,0.00
0.383571,0.000000,1.22,0.00
0.390571,0.000000,1.24,0.00
0.397429,0.000000,1.27,0.00
0.404143,0.000000,1.29,0.00
0.410857,0.000000,1.32,0.00
0.417429,0.000000,1.34,0.00
0.424000,0.000000,1.37,0.00
0.430429,0.000000,1.40,0.00
0.436714,0.000000,1.44,0.00
0.443000,0.000000,1.47,0.00
0.449143,0.000000,1.50,0.00
0.455286,0.000000,1.53,0.00
0.461286,0.000000,1.57,0.00
0.467143,0.000000,1.60,0.00
0.473000,0.000000,1.63,0.00
0.478571,0.000000,1.67,0.00
0.484286,0.000000,1.70,0.00
0.489714,0.000000,1.73,0.00
0.495143,0.000000,1.76,0.00
0.500429,0.000000,1.78,0.00
0.505571,0.000000,1.80,0.00
0.510571,0.000000,1.82,0.00
0.515571,0.000000,1.84,0.00
0.520429,0.000000,1.86,0.00
0.525143,0.000000,1.87,0.00
0.529714,0.000000,1.88,0.00
0.534286,0.000000,1.89,0.00
0.538714,0.000000,1.90,0.00
0.543000,0.000000,1.91,0.00
0.547143,0.000000,1.91,0.00
0.551143,0.000000,1.92,0.00
0.555143,0.000000,1.92,0.00
0.559000,0.000000,1.92,0.00
0.562571,0.000000,1.93,0.00
0.566143,0.000000,1.93,0.00
0.569571,0.000000,1.93,0.00
0.573000,0.000000,1.93,0.00
0.576143,0.000000,1.93,0.00
0.579286,0.000000,1.93,0.00
0.582143,0.000000,1.93,0.00
0.585000,0.000000,1.93,0.00
0.587714,0.000000,1.93,0.00
0.590286,0.000000,1.93,0.00
0.592714,0.000000,1.93,0.00
0.595000,0.000000,1.93,0.00
0.597286,0.000000,1.93,0.00
0.599286,0.000000,1.93,0.00
0.601143,0.000000,1.93,0.00
0.603000,0.000000,1.93,0.00
0.604714,0.000000,1.93,0.00
0.606143,0.000000,1.93,0.00
0.607571,0.000000,1.93,0.00
0.608857,0.000000,1.93,0.00
0.610000,0.000000,1.93,0.00
0.611000,0.000000,1.93,0.00
0.611857,0.000000,1.93,0.00
0.612571,0.000000,1.94,0.00
0.613286,0.000000,1.94,0.00
0.613714,0.000000,1.95,0.00
0.614000,0.000000,1.95,0.00
0.614286,0.000000,1.96,0.00
0.614286,0.000000,1.96,0.00
0.614286,0.000000,1.97,0.00
0.614000,0.000000,1.97,0.00
0.613714,0.000000,1.97,0.00
0.613286,0.000000,1.97,0.00
0.612571,0.000000,1.97,0.00
0.611857,0.000000,1.96,0.00
0.611000,0.000000,1.96,0.00
0.610000,0.000000,1.96,0.00
0.608857,0.000000,1.96,0.00
0.607571,0.000000,1.95,0.00
0.606143,0.000000,1.95,0.00
0.604714,0.000000,1.94,0.00
0.603000,0.000000,1.93,0.00
0.601143,0.000000,1.92,0.00
0.599286,0.000000,1.91,0.00
0.597286,0.000000,1.89,0.00
0.595000,0.000000,1.88,0.00
0.592714,0.000000,1.86,0.00
0.590286,0.000000,1.85,0.00
0.587714,0.000000,1.83,0.00
0.585000,0.000000,1.81,0.00
0.582143,0.000000,1.79,0.00
0.579286,0.000000,1.78,0.00
0.576143,0.000000,1.76,0.00
0.573000,0.000000,1.75,0.00
0.569571,0.000000,1.74,0.00
0.566143,0.000000,1.73,0.00
0.562571,0.000000,1.72,0.00
0.559000,0.000000,1.71,0.00
0.555143,0.000000,1.71,0.00
0.551143,0.000000,1.70,0.00
0.547143,0.000000,1.70,0.00
0.543000,0.000000,1.69,0.00
0.538714,0.000000,1.68,0.00
0.534286,0.000000,1.67,0.00
0.529714,0.000000,1.67,0.00
0.525143,0.000000,1.66,0.00
0.520429,0.000000,1.65,0.00
0.515571,0.000000,1.65,0.00
0.510571,0.000000,1.64,0.00
0.505571,0.000000,1.63,0.00
0.500429,0.000000,1.62,0.00
0.495143,0.000000,1.62,0.00
0.489714,0.000000,1.61,0.00
0.484286,0.000000,1.61,0.00
0.478571,0.000000,1.60,0.00
0.473000,0.000000,1.60,0.00
0.467143,0.000000,1.60,0.00
0.461286,0.000000,1.60,0.00
0.455286,0.000000,1.60,0.00
0.449143,0.000000,1.60,0.00
0.443000,0.000000,1.61,0.00
0.436714,0.000000,1.61,0.00
0.430429,0.000000,1.61,0.00
0.424000,0.000000,1.62,0.00
0.417429,0.000000,1.62,0.00
0.410857,0.000000,1.62,0.00
0.404143,0.000000,1.63,0.00
0.397429,0.000000,1.63,0.00
0.390571,0.000000,1.63,0.00
0.383571,0.000000,1.64,0.00
0.376571,0.000000,1.64,0.00
0.369429,0.000000,1.65,0.00
0.362286,0.000000,1.65,0.00
0.355000,0.000000,1.66,0.00
