flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.647291,0.000000,0.00,0.33
0.644232,0.000000,0.00,0.33
0.641029,0.000000,0.00,0.34
0.637682,0.000000,0.00,0.34
0.634192,0.000000,0.00,0.34
0.630560,0.000000,0.00,0.34
0.626788,0.000000,0.00,0.35
0.622875,0.000000,0.00,0.35
0.618823,0.000000,0.00,0.35
0.614632,0.000000,0.00,0.35
0.610303,0.000000,0.00,0.36
0.605838,0.000000,0.00,0.36
0.601238,0.000000,0.00,0.36
0.596503,0.000000,0.00,0.37
0.591634,0.000000,0.00,0.37
0.586633,0.000000,0.00,0.37
0.581501,0.000000,0.00,0.37
0.576238,0.000000,0.00,0.38
0.570847,0.000000,0.00,0.38
0.565328,0.000000,0.00,0.38
0.559682,0.000000,0.00,0.38
0.553911,0.000000,0.00,0.39
0.548016,0.000000,0.00,0.39
0.541999,0.000000,0.00,0.39
0.535860,0.000000,0.00,0.39
0.529601,0.000000,0.00,0.40
0.523224,0.000000,0.00,0.40
0.516730,0.000000,0.00,0.40
0.510120,0.000000,0.00,0.41
0.503396,0.000000,0.00,0.41
0.496559,0.000000,0.00,0.41
0.489611,0.000000,0.00,0.41
0.482553,0.000000,0.00,0.42
0.475388,0.000000,0.00,0.42
0.468116,0.000000,0.00,0.42
0.460739,0.000000,0.00,0.42
0.453259,0.000000,0.00,0.43
0.445678,0.000000,0.00,0.43
0.437997,0.000000,0.00,0.43
0.430218,0.000000,0.00,0.43
0.422343,0.000000,0.00,0.44
0.414373,0.000000,0.00,0.44
0.406311,0.000000,0.00,0.44
0.398157,0.000000,0.00,0.45
0.389915,0.000000,0.00,0.45
0.381585,0.000000,0.00,0.45
0.373170,0.000000,0.00,0.45
0.364671,0.000000,0.00,0.46
0.356091,0.000000,0.00,0.46
0.347431,0.000000,0.00,0.46
0.338693,0.000000,0.00,0.46
0.329879,0.000000,0.00,0.47
0.320992,0.000000,0.00,0.47
0.312033,0.000000,0.00,0.47
0.303003,0.000000,0.00,0.47
0.293907,0.000000,0.00,0.48
0.284744,0.000000,0.00,0.48
0.275518,0.000000,0.00,0.48
0.266230,0.000000,0.00,0.49
0.256882,0.000000,0.00,0.49
0.247477,0.000000,0.00,0.49
0.238016,0.000000,0.00,0.49
0.228502,0.000000,0.00,0.50
0.218938,0.000000,0.00,0.50
0.209324,0.000000,0.00,0.50
0.199663,0.000000,0.00,0.50
0.189957,0.000000,0.00,0.51
0.180210,0.000000,0.00,0.51
0.170421,0.000000,0.00,0.51
0.160595,0.000000,0.00,0.52
0.150732,0.000000,0.00,0.52
0.140836,0.000000,0.00,0.52
0.130909,0.000000,0.00,0.52
0.120952,0.000000,0.00,0.53
0.110968,0.000000,0.00,0.53
0.100959,0.000000,0.00,0.53
0.090928,0.000000,0.00,0.53
0.080876,0.000000,0.00,0.54
0.070806,0.000000,0.00,0.54
0.060720,0.000000,0.00,0.54
0.050621,0.000000,0.00,0.54
0.040510,0.000000,0.00,0.55
0.030391,0.000000,0.00,0.55
0.020264,0.000000,0.00,0.55
0.010133,0.000000,0.00,0.56
0.000000,0.000000,0.00,0.56
0.009543,0.000000,0.00,0.56
0.019085,0.000000,0.00,0.56
0.028622,0.000000,0.00,0.57
0.038152,0.000000,0.00,0.57
0.047675,0.000000,0.00,0.57
0.057186,0.000000,0.00,0.57
0.066685,0.000000,0.00,0.58
0.076168,0.000000,0.00,0.58
0.085635,0.000000,0.00,0.58
0.095083,0.000000,0.00,0.58
0.104509,0.000000,0.00,0.59
0.113912,0.000000,0.00,0.59
0.123289,0.000000,0.00,0.59
0.132639,0.000000,0.00,0.60
0.141959,0.000000,0.00,0.60
0.151247,0.000000,0.00,0.60
0.160501,0.000000,0.00,0.60
0.169720,0.000000,0.00,0.61
0.178901,0.000000,0.00,0.61
0.188041,0.000000,0.00,0.61
0.197139,0.000000,0.00,0.61
0.206194,0.000000,0.00,0.62
0.215202,0.000000,0.00,0.62
0.224162,0.000000,0.00,0.62
0.233072,0.000000,0.00,0.62
0.241929,0.000000,0.00,0.63
0.250733,0.000000,0.00,0.63
0.259480,0.000000,0.00,0.63
0.268170,0.000000,0.00,0.64
0.276799,0.000000,0.00,0.64
0.285366,0.000000,0.00,0.64
0.293870,0.000000,0.00,0.64
0.302308,0.000000,0.00,0.65
0.310678,0.000000,0.00,0.65
0.318978,0.000000,0.00,0.65
0.327208,0.000000,0.00,0.65
0.335364,0.000000,0.00,0.66
0.343444,0.000000,0.00,0.66
0.351448,0.000000,0.00,0.66
0.359374,0.000000,0.00,0.66
0.367219,0.000000,0.00,0.67
0.374982,0.000000,0.00,0.67
0.382660,0.000000,0.00,0.67
0.390254,0.000000,0.00,0.68
0.397760,0.000000,0.00,0.68
0.405176,0.000000,0.00,0.68
0.412503,0.000000,0.00,0.68
0.419736,0.000000,0.00,0.69
0.426876,0.000000,0.00,0.69
0.433921,0.000000,0.00,0.69
0.440868,0.000000,0.00,0.69
0.447717,0.000000,0.00,0.70
0.454465,0.000000,0.00,0.70
0.461112,0.000000,0.00,0.70
0.467655,0.000000,0.00,0.70
0.474094,0.000000,0.00,0.71
0.480427,0.000000,0.00,0.71
0.486652,0.000000,0.00,0.71
0.492769,0.000000,0.00,0.72
0.498775,0.000000,0.00,0.72
0.504669,0.000000,0.00,0.72
0.510451,0.000000,0.00,0.72
0.516118,0.000000,0.00,0.73
0.521670,0.000000,0.00,0.73
0.527105,0.000000,0.00,0.73
0.532422,0.000000,0.00,0.73
0.537620,0.000000,0.00,0.74
0.542697,0.000000,0.00,0.74
0.547653,0.000000,0.00,0.74
0.552487,0.000000,0.00,0.74
0.557197,0.000000,0.00,0.75
0.561782,0.000000,0.00,0.75
0.566241,0.000000,0.00,0.75
0.570574,0.000000,0.00,0.76
0.574779,0.000000,0.00,0.76
0.578856,0.000000,0.00,0.76
0.582803,0.000000,0.00,0.76
0.586619,0.000000,0.00,0.77
0.590304,0.000000,0.00,0.77
0.593857,0.000000,0.00,0.77
0.597277,0.000000,0.00,0.77
0.600564,0.000000,0.00,0.78
0.603716,0.000000,0.00,0.78
0.606733,0.000000,0.00,0.78
0.609614,0.000000,0.00,0.78
0.612359,0.000000,0.00,0.79
0.614967,0.000000,0.00,0.79
0.617437,0.000000,0.00,0.79
0.619769,0.000000,0.00,0.80
0.621962,0.000000,0.00,0.80
0.624016,0.000000,0.00,0.80
0.625930,0.000000,0.00,0.80
0.627705,0.000000,0.00,0.81
0.629338,0.000000,0.00,0.81
0.630831,0.000000,0.00,0.81
0.632183,0.000000,0.00,0.81
0.633393,0.000000,0.00,0.82
0.634462,0.000000,0.00,0.82
0.635389,0.000000,0.00,0.82
0.636173,0.000000,0.00,0.82
0.636815,0.000000,0.00,0.83
0.637314,0.000000,0.00,0.83
0.637671,0.000000,0.00,0.83
0.637885,0.000000,0.00,0.84
0.637957,0.000000,0.00,0.84
0.637885,0.000000,0.00,0.84
0.637671,0.000000,0.00,0.84
0.637314,0.000000,0.00,0.85
0.636815,0.000000,0.00,0.85
0.636173,0.000000,0.00,0.85
0.635389,0.000000,0.00,0.85
0.634462,0.000000,0.00,0.86
0.633393,0.000000,0.00,0.86
0.632183,0.000000,0.00,0.86
0.630831,0.000000,0.00,0.86
0.629338,0.000000,0.00,0.87
0.627705,0.000000,0.00,0.87
0.625930,0.000000,0.00,0.87
0.624016,0.000000,0.00,0.88
0.621962,0.000000,0.00,0.88
0.619769,0.000000,0.00,0.88
0.617437,0.000000,0.00,0.88
0.614967,0.000000,0.00,0.89
0.612359,0.000000,0.00,0.89
0.609614,0.000000,0.00,0.89
0.606733,0.000000,0.00,0.89
0.603716,0.000000,0.00,0.90
0.600564,0.000000,0.00,0.90
0.597277,0.000000,0.00,0.90
0.593857,0.000000,0.00,0.90
0.590304,0.000000,0.00,0.91
0.586619,0.000000,0.00,0.91
0.582803,0.000000,0.00,0.91
0.578856,0.000000,0.00,0.92
0.574779,0.000000,0.00,0.92
0.570574,0.000000,0.00,0.92
0.566241,0.000000,0.00,0.92
0.561782,0.000000,0.00,0.93
0.557197,0.000000,0.00,0.93
0.552487,0.000000,0.00,0.93
0.547653,0.000000,0.00,0.93
0.542697,0.000000,0.00,0.94
0.537620,0.000000,0.00,0.94
0.532422,0.000000,0.00,0.94
0.527105,0.000000,0.00,0.94
0.521670,0.000000,0.00,0.95
0.516118,0.000000,0.00,0.95
0.510451,0.000000,0.00,0.95
0.504669,0.000000,0.00,0.96
0.498775,0.000000,0.00,0.96
0.492769,0.000000,0.00,0.96
0.486652,0.000000,0.00,0.96
0.480427,0.000000,0.00,0.97
0.474094,0.000000,0.00,0.97
0.467655,0.000000,0.00,0.97
0.461112,0.000000,0.00,0.97
0.454465,0.000000,0.00,0.98
0.447717,0.000000,0.00,0.98
0.440868,0.000000,0.00,0.98
0.433921,0.000000,0.00,0.98
0.426876,0.000000,0.00,0.99
0.419736,0.000000,0.00,0.99
0.412503,0.000000,0.00,0.99
0.405176,0.000000,0.00,1.00
0.397760,0.000000,0.00,1.00
0.390254,0.000000,0.00,1.00
0.382660,0.000000,0.00,1.00
0.374982,0.000000,0.00,1.01
0.367219,0.000000,0.00,1.01
0.359374,0.000000,0.00,1.01
0.351448,0.000000,0.00,1.01
0.343444,0.000000,0.00,1.02
0.335364,0.000000,0.00,1.02
0.327208,0.000000,0.00,1.02
0.318978,0.000000,0.00,1.02
0.310678,0.000000,0.00,1.03
0.302308,0.000000,0.00,1.03
0.293870,0.000000,0.00,1.03
0.285366,0.000000,0.00,1.04
0.276799,0.000000,0.00,1.04
0.268170,0.000000,0.00,1.04
0.259480,0.000000,0.00,1.04
0.250733,0.000000,0.00,1.05
0.241929,0.000000,0.00,1.05
0.233072,0.000000,0.00,1.05
0.224162,0.000000,0.00,1.05
0.215202,0.000000,0.00,1.06
0.206194,0.000000,0.00,1.06
0.197139,0.000000,0.00,1.06
0.188041,0.000000,0.00,1.06
0.178901,0.000000,0.00,1.07
0.169720,0.000000,0.00,1.07
0.160501,0.000000,0.00,1.07
0.151247,0.000000,0.00,1.08
0.141959,0.000000,0.00,1.08
0.132639,0.000000,0.00,1.08
0.123289,0.000000,0.00,1.08
0.113912,0.000000,0.00,1.09
0.104509,0.000000,0.00,1.09
0.095083,0.000000,0.00,1.09
0.085635,0.000000,0.00,1.09
0.076168,0.000000,0.00,1.10
0.066685,0.000000,0.00,1.10
0.057186,0.000000,0.00,1.10
0.047675,0.000000,0.00,1.10
0.038152,0.000000,0.00,1.11
0.028622,0.000000,0.00,1.11
0.019085,0.000000,0.00,1.11
0.009543,0.000000,0.00,1.12
0.000000,0.000000,0.00,1.12
0.014959,0.000000,0.00,1.12
0.029915,0.000000,0.00,1.12
0.044865,0.000000,0.00,1.13
0.059804,0.000000,0.00,1.13
0.074730,0.000000,0.00,1.13
0.089639,0.000000,0.00,1.13
0.104528,0.000000,0.00,1.14
0.119394,0.000000,0.00,1.14
0.134233,0.000000,0.00,1.14
0.149042,0.000000,0.00,1.14
0.163818,0.000000,0.00,1.15
0.178557,0.000000,0.00,1.15
0.193256,0.000000,0.00,1.15
0.207912,0.000000,0.00,1.16
0.222521,0.000000,0.00,1.16
0.237080,0.000000,0.00,1.16
0.251587,0.000000,0.00,1.16
0.266037,0.000000,0.00,1.17
0.280427,0.000000,0.00,1.17
0.294755,0.000000,0.00,1.17
0.309017,0.000000,0.00,1.17
0.323210,0.000000,0.00,1.18
0.337330,0.000000,0.00,1.18
0.351375,0.000000,0.00,1.18
0.365341,0.000000,0.00,1.18
0.379225,0.000000,0.00,1.19
0.393025,0.000000,0.00,1.19
0.406737,0.000000,0.00,1.19
0.420357,0.000000,0.00,1.20
0.433884,0.000000,0.00,1.20
0.447313,0.000000,0.00,1.20
0.460642,0.000000,0.00,1.20
0.473869,0.000000,0.00,1.21
0.486989,0.000000,0.00,1.21
0.500000,0.000000,0.00,1.21
0.512899,0.000000,0.00,1.21
0.525684,0.000000,0.00,1.22
0.538351,0.000000,0.00,1.22
0.550897,0.000000,0.00,1.22
0.563320,0.000000,0.00,1.22
0.575617,0.000000,0.00,1.23
0.587785,0.000000,0.00,1.23
0.599822,0.000000,0.00,1.23
0.611724,0.000000,0.00,1.24
0.623490,0.000000,0.00,1.24
0.635116,0.000000,0.00,1.24
0.646600,0.000000,0.00,1.24
0.657939,0.000000,0.00,1.25
0.669131,0.000000,0.00,1.25
0.680173,0.000000,0.00,1.25
0.691063,0.000000,0.00,1.25
0.701798,0.000000,0.00,1.26
0.712376,0.000000,0.00,1.26
0.722795,0.000000,0.00,1.26
0.733052,0.000000,0.00,1.26
0.743145,0.000000,0.00,1.27
0.753071,0.000000,0.00,1.27
0.762830,0.000000,0.00,1.27
0.772417,0.000000,0.00,1.28
0.781831,0.000000,0.00,1.28
0.791071,0.000000,0.00,1.28
0.800134,0.000000,0.00,1.28
0.809017,0.000000,0.00,1.29
0.817719,0.000000,0.00,1.29
0.826239,0.000000,0.00,1.29
0.834573,0.000000,0.00,1.29
0.842721,0.000000,0.00,1.30
0.850680,0.000000,0.00,1.30
0.858449,0.000000,0.00,1.30
0.866025,0.000000,0.00,1.30
0.873408,0.000000,0.00,1.31
0.880596,0.000000,0.00,1.31
0.887586,0.000000,0.00,1.31
0.894377,0.000000,0.00,1.32
0.900969,0.000000,0.00,1.32
0.907359,0.000000,0.00,1.32
0.913545,0.000000,0.00,1.32
0.919528,0.000000,0.00,1.33
0.925304,0.000000,0.00,1.33
0.930874,0.000000,0.00,1.33
0.936235,0.000000,0.00,1.33
0.941386,0.000000,0.00,1.34
0.946327,0.000000,0.00,1.34
0.951057,0.000000,0.00,1.34
0.955573,0.000000,0.00,1.34
0.959875,0.000000,0.00,1.35
0.963963,0.000000,0.00,1.35
0.967835,0.000000,0.00,1.35
0.971490,0.000000,0.00,1.36
0.974928,0.000000,0.00,1.36
0.978148,0.000000,0.00,1.36
0.981148,0.000000,0.00,1.36
0.983930,0.000000,0.00,1.37
0.986491,0.000000,0.00,1.37
0.988831,0.000000,0.00,1.37
0.990950,0.000000,0.00,1.37
0.992847,0.000000,0.00,1.38
0.994522,0.000000,0.00,1.38
0.995974,0.000000,0.00,1.38
0.997204,0.000000,0.00,1.38
0.998210,0.000000,0.00,1.39
0.998993,0.000000,0.00,1.39
0.999552,0.000000,0.00,1.39
0.999888,0.000000,0.00,1.40
1.000000,0.000000,0.00,1.40
0.999888,0.000000,0.00,1.40
0.999552,0.000000,0.00,1.40
0.998993,0.000000,0.00,1.41
0.998210,0.000000,0.00,1.41
0.997204,0.000000,0.00,1.41
0.995974,0.000000,0.00,1.41
0.994522,0.000000,0.00,1.42
0.992847,0.000000,0.00,1.42
0.990950,0.000000,0.00,1.42
0.988831,0.000000,0.00,1.42
0.986491,0.000000,0.00,1.43
0.983930,0.000000,0.00,1.43
0.981148,0.000000,0.00,1.43
0.978148,0.000000,0.00,1.44
0.974928,0.000000,0.00,1.44
0.971490,0.000000,0.00,1.44
0.967835,0.000000,0.00,1.44
0.963963,0.000000,0.00,1.45
0.959875,0.000000,0.00,1.45
0.955573,0.000000,0.00,1.45
0.951057,0.000000,0.00,1.45
0.946327,0.000000,0.00,1.46
0.941386,0.000000,0.00,1.46
0.936235,0.000000,0.00,1.46
0.930874,0.000000,0.00,1.46
0.925304,0.000000,0.00,1.47
0.919528,0.000000,0.00,1.47
0.913545,0.000000,0.00,1.47
0.907359,0.000000,0.00,1.48
0.900969,0.000000,0.00,1.48
0.894377,0.000000,0.00,1.48
0.887586,0.000000,0.00,1.48
0.880596,0.000000,0.00,1.49
0.873408,0.000000,0.00,1.49
0.866025,0.000000,0.00,1.49
0.858449,0.000000,0.00,1.49
0.850680,0.000000,0.00,1.50
0.842721,0.000000,0.00,1.50
0.834573,0.000000,0.00,1.50
0.826239,0.000000,0.00,1.51
0.817719,0.000000,0.00,1.51
0.809017,0.000000,0.00,1.51
0.800134,0.000000,0.00,1.51
0.791071,0.000000,0.00,1.52
0.781831,0.000000,0.00,1.52
0.772417,0.000000,0.00,1.52
0.762830,0.000000,0.00,1.52
0.753071,0.000000,0.00,1.53
0.743145,0.000000,0.00,1.53
0.733052,0.000000,0.00,1.53
0.722795,0.000000,0.00,1.53
0.712376,0.000000,0.00,1.54
0.701798,0.000000,0.00,1.54
0.691063,0.000000,0.00,1.54
0.680173,0.000000,0.00,1.55
0.669131,0.000000,0.00,1.55
0.657939,0.000000,0.00,1.55
0.646600,0.000000,0.00,1.55
0.635116,0.000000,0.00,1.56
0.623490,0.000000,0.00,1.56
0.611724,0.000000,0.00,1.56
0.599822,0.000000,0.00,1.56
0.587785,0.000000,0.00,1.57
0.575617,0.000000,0.00,1.57
0.563320,0.000000,0.00,1.57
0.550897,0.000000,0.00,1.57
0.538351,0.000000,0.00,1.58
0.525684,0.000000,0.00,1.58
0.512899,0.000000,0.00,1.58
0.500000,0.000000,0.00,1.59
0.486989,0.000000,0.00,1.59
0.473869,0.000000,0.00,1.59
0.460642,0.000000,0.00,1.59
0.447313,0.000000,0.00,1.60
0.433884,0.000000,0.00,1.60
0.420357,0.000000,0.00,1.60
0.406737,0.000000,0.00,1.60
0.393025,0.000000,0.00,1.61
0.379225,0.000000,0.00,1.61
0.365341,0.000000,0.00,1.61
0.351375,0.000000,0.00,1.61
0.337330,0.000000,0.00,1.62
0.323210,0.000000,0.00,1.62
0.309017,0.000000,0.00,1.62
0.294755,0.000000,0.00,1.63
0.280427,0.000000,0.00,1.63
0.266037,0.000000,0.00,1.63
0.251587,0.000000,0.00,1.63
0.237080,0.000000,0.00,1.64
0.222521,0.000000,0.00,1.64
0.207912,0.000000,0.00,1.64
0.193256,0.000000,0.00,1.64
0.178557,0.000000,0.00,1.65
0.163818,0.000000,0.00,1.65
0.149042,0.000000,0.00,1.65
0.134233,0.000000,0.00,1.65
0.119394,0.000000,0.00,1.66
0.104528,0.000000,0.00,1.66
0.089639,0.000000,0.00,1.66
0.074730,0.000000,0.00,1.67
0.059804,0.000000,0.00,1.67
0.044865,0.000000,0.00,1.67
0.029915,0.000000,0.00,1.67
0.014959,0.000000,0.00,1.68
0.000000,0.000000,0.00,1.68
0.002858,0.000000,0.00,1.68
0.005715,0.000000,0.00,1.68
0.008570,0.000000,0.00,1.69
0.011424,0.000000,0.00,1.69
0.014275,0.000000,0.00,1.69
0.017123,0.000000,0.00,1.69
0.019968,0.000000,0.00,1.70
0.022807,0.000000,0.00,1.70
0.025642,0.000000,0.00,1.70
0.028471,0.000000,0.00,1.71
0.031293,0.000000,0.00,1.71
0.034109,0.000000,0.00,1.71
0.036917,0.000000,0.00,1.71
0.039716,0.000000,0.00,1.72
0.042507,0.000000,0.00,1.72
0.045288,0.000000,0.00,1.72
0.048059,0.000000,0.00,1.72
0.050820,0.000000,0.00,1.73
0.053569,0.000000,0.00,1.73
0.056306,0.000000,0.00,1.73
0.059030,0.000000,0.00,1.73
0.061741,0.000000,0.00,1.74
0.064438,0.000000,0.00,1.74
0.067121,0.000000,0.00,1.74
0.069789,0.000000,0.00,1.75
0.072441,0.000000,0.00,1.75
0.075078,0.000000,0.00,1.75
0.077697,0.000000,0.00,1.75
0.080299,0.000000,0.00,1.76
0.082883,0.000000,0.00,1.76
0.085448,0.000000,0.00,1.76
0.087994,0.000000,0.00,1.76
0.090521,0.000000,0.00,1.77
0.093027,0.000000,0.00,1.77
0.095512,0.000000,0.00,1.77
0.097976,0.000000,0.00,1.77
0.100419,0.000000,0.00,1.78
0.102838,0.000000,0.00,1.78
0.105235,0.000000,0.00,1.78
0.107608,0.000000,0.00,1.79
0.109957,0.000000,0.00,1.79
0.112282,0.000000,0.00,1.79
0.114581,0.000000,0.00,1.79
0.116854,0.000000,0.00,1.80
0.119102,0.000000,0.00,1.80
0.121323,0.000000,0.00,1.80
0.123517,0.000000,0.00,1.80
0.125683,0.000000,0.00,1.81
0.127821,0.000000,0.00,1.81
0.129930,0.000000,0.00,1.81
0.132010,0.000000,0.00,1.81
0.134061,0.000000,0.00,1.82
0.136081,0.000000,0.00,1.82
0.138072,0.000000,0.00,1.82
0.140031,0.000000,0.00,1.83
0.141959,0.000000,0.00,1.83
0.143855,0.000000,0.00,1.83
0.145719,0.000000,0.00,1.83
0.147551,0.000000,0.00,1.84
0.149349,0.000000,0.00,1.84
0.151114,0.000000,0.00,1.84
0.152845,0.000000,0.00,1.84
0.154542,0.000000,0.00,1.85
0.156205,0.000000,0.00,1.85
0.157832,0.000000,0.00,1.85
0.159424,0.000000,0.00,1.85
0.160981,0.000000,0.00,1.86
0.162501,0.000000,0.00,1.86
0.163985,0.000000,0.00,1.86
0.165432,0.000000,0.00,1.87
0.166843,0.000000,0.00,1.87
0.168216,0.000000,0.00,1.87
0.169551,0.000000,0.00,1.87
0.170848,0.000000,0.00,1.88
0.172107,0.000000,0.00,1.88
0.173328,0.000000,0.00,1.88
0.174510,0.000000,0.00,1.88
0.175653,0.000000,0.00,1.89
0.176756,0.000000,0.00,1.89
0.177820,0.000000,0.00,1.89
0.178844,0.000000,0.00,1.89
0.179828,0.000000,0.00,1.90
0.180772,0.000000,0.00,1.90
0.181675,0.000000,0.00,1.90
0.182538,0.000000,0.00,1.91
0.183360,0.000000,0.00,1.91
0.184141,0.000000,0.00,1.91
0.184880,0.000000,0.00,1.91
0.185579,0.000000,0.00,1.92
0.186235,0.000000,0.00,1.92
0.186850,0.000000,0.00,1.92
0.187424,0.000000,0.00,1.92
0.187955,0.000000,0.00,1.93
0.188444,0.000000,0.00,1.93
0.188891,0.000000,0.00,1.93
0.189296,0.000000,0.00,1.93
0.189658,0.000000,0.00,1.94
0.189978,0.000000,0.00,1.94
0.190256,0.000000,0.00,1.94
0.190491,0.000000,0.00,1.95
0.190683,0.000000,0.00,1.95
0.190832,0.000000,0.00,1.95
0.190939,0.000000,0.00,1.95
0.191003,0.000000,0.00,1.96
0.191025,0.000000,0.00,1.96
0.191003,0.000000,0.00,1.96
0.190939,0.000000,0.00,1.96
0.190832,0.000000,0.00,1.97
0.190683,0.000000,0.00,1.97
0.190491,0.000000,0.00,1.97
0.190256,0.000000,0.00,1.97
0.189978,0.000000,0.00,1.98
0.189658,0.000000,0.00,1.98
0.189296,0.000000,0.00,1.98
0.188891,0.000000,0.00,1.99
0.188444,0.000000,0.00,1.99
0.187955,0.000000,0.00,1.99
0.187424,0.000000,0.00,1.99
0.186850,0.000000,0.00,2.00
0.186235,0.000000,0.00,2.00
0.185579,0.000000,0.00,2.00
0.184880,0.000000,0.00,2.00
0.184141,0.000000,0.00,2.01
0.183360,0.000000,0.00,2.01
0.182538,0.000000,0.00,2.01
0.181675,0.000000,0.00,2.01
0.180772,0.000000,0.00,2.02
0.179828,0.000000,0.00,2.02
0.178844,0.000000,0.00,2.02
0.177820,0.000000,0.00,2.03
0.176756,0.000000,0.00,2.03
0.175653,0.000000,0.00,2.03
0.174510,0.000000,0.00,2.03
0.173328,0.000000,0.00,2.04
0.172107,0.000000,0.00,2.04
0.170848,0.000000,0.00,2.04
0.169551,0.000000,0.00,2.04
0.168216,0.000000,0.00,2.05
0.166843,0.000000,0.00,2.05
0.165432,0.000000,0.00,2.05
0.163985,0.000000,0.00,2.05
