flip_angle_(fraction_of_nominal),rf_phase_(deg),extension_of_base_TR_(ms),extension_of_base_TE_(ms)
0.010133,0.000000,0.00,0.00
0.020264,0.000000,0.00,0.00
0.030391,0.000000,0.00,0.01
0.040510,0.000000,0.00,0.01
0.050621,0.000000,0.00,0.01
0.060720,0.000000,0.00,0.01
0.070806,0.000000,0.00,0.02
0.080876,0.000000,0.00,0.02
0.090928,0.000000,0.00,0.02
0.100959,0.000000,0.00,0.02
0.110968,0.000000,0.00,0.03
0.120952,0.000000,0.00,0.03
0.130909,0.000000,0.00,0.03
0.140836,0.000000,0.00,0.03
0.150732,0.000000,0.00,0.04
0.160595,0.000000,0.00,0.04
0.170421,0.000000,0.00,0.04
0.180210,0.000000,0.00,0.05
0.189957,0.000000,0.00,0.05
0.199663,0.000000,0.00,0.05
0.209324,0.000000,0.00,0.05
0.218938,0.000000,0.00,0.06
0.228502,0.000000,0.00,0.06
0.238016,0.000000,0.00,0.06
0.247477,0.000000,0.00,0.06
0.256882,0.000000,0.00,0.07
0.266230,0.000000,0.00,0.07
0.275518,0.000000,0.00,0.07
0.284744,0.000000,0.00,0.07
0.293907,0.000000,0.00,0.08
0.303003,0.000000,0.00,0.08
0.312033,0.000000,0.00,0.08
0.320992,0.000000,0.00,0.09
0.329879,0.000000,0.00,0.09
0.338693,0.000000,0.00,0.09
0.347431,0.000000,0.00,0.09
0.356091,0.000000,0.00,0.10
0.364671,0.000000,0.00,0.10
0.373170,0.000000,0.00,0.10
0.381585,0.000000,0.00,0.10
0.389915,0.000000,0.00,0.11
0.398157,0.000000,0.00,0.11
0.406311,0.000000,0.00,0.11
0.414373,0.000000,0.00,0.11
0.422343,0.000000,0.00,0.12
0.430218,0.000000,0.00,0.12
0.437997,0.000000,0.00,0.12
0.445678,0.000000,0.00,0.13
0.453259,0.000000,0.00,0.13
0.460739,0.000000,0.00,0.13
0.468116,0.000000,0.00,0.13
0.475388,0.000000,0.00,0.14
0.482553,0.000000,0.00,0.14
0.489611,0.000000,0.00,0.14
0.496559,0.000000,0.00,0.14
0.503396,0.000000,0.00,0.15
0.510120,0.000000,0.00,0.15
0.516730,0.000000,0.00,0.15
0.523224,0.000000,0.00,0.15
0.529601,0.000000,0.00,0.16
0.535860,0.000000,0.00,0.16
0.541999,0.000000,0.00,0.16
0.548016,0.000000,0.00,0.17
0.553911,0.000000,0.00,0.17
0.559682,0.000000,0.00,0.17
0.565328,0.000000,0.00,0.17
0.570847,0.000000,0.00,0.18
0.576238,0.000000,0.00,0.18
0.581501,0.000000,0.00,0.18
0.586633,0.000000,0.00,0.18
0.591634,0.000000,0.00,0.19
0.596503,0.000000,0.00,0.19
0.601238,0.000000,0.00,0.19
0.605838,0.000000,0.00,0.19
0.610303,0.000000,0.00,0.20
0.614632,0.000000,0.00,0.20
0.618823,0.000000,0.00,0.20
0.622875,0.000000,0.00,0.21
0.626788,0.000000,0.00,0.21
0.630560,0.000000,0.00,0.21
0.634192,0.000000,0.00,0.21
0.637682,0.000000,0.00,0.22
0.641029,0.000000,0.00,0.22
0.644232,0.000000,0.00,0.22
0.647291,0.000000,0.00,0.22
0.650206,0.000000,0.00,0.23
0.652975,0.000000,0.00,0.23
0.655597,0.000000,0.00,0.23
0.658073,0.000000,0.00,0.23
0.660402,0.000000,0.00,0.24
0.662583,0.000000,0.00,0.24
0.664616,0.000000,0.00,0.24
0.666500,0.000000,0.00,0.25
0.668235,0.000000,0.00,0.25
0.669820,0.000000,0.00,0.25
0.671255,0.000000,0.00,0.25
0.672540,0.000000,0.00,0.26
0.673675,0.000000,0.00,0.26
0.674659,0.000000,0.00,0.26
0.675492,0.000000,0.00,0.26
0.676173,0.000000,0.00,0.27
0.676704,0.000000,0.00,0.27
0.677082,0.000000,0.00,0.27
0.677310,0.000000,0.00,0.27
0.677386,0.000000,0.00,0.28
0.677310,0.000000,0.00,0.28
0.677082,0.000000,0.00,0.28
0.676704,0.000000,0.00,0.29
0.676173,0.000000,0.00,0.29
0.675492,0.000000,0.00,0.29
0.674659,0.000000,0.00,0.29
0.673675,0.000000,0.00,0.30
0.672540,0.000000,0.00,0.30
0.671255,0.000000,0.00,0.30
0.669820,0.000000,0.00,0.30
0.668235,0.000000,0.00,0.31
0.666500,0.000000,0.00,0.31
0.664616,0.000000,0.00,0.31
0.662583,0.000000,0.00,0.31
0.660402,0.000000,0.00,0.32
0.658073,0.000000,0.00,0.32
0.655597,0.000000,0.00,0.32
0.652975,0.000000,0.00,0.33
0.650206,0.000000,0.00,0.33
